metadata.ltach
PCMP_H357	P
PCMP_H359	C
PCMP_H360	M
PCMP_H362	C
PCMP_H365	U
PCMP_H367	R
PCMP_H370	Q
PCMP_H371	M
PCMP_H372	E
PCMP_H373	C
PCMP_H374	C
PCMP_H375	D
PCMP_H376	D
PCMP_H377	E
PCMP_H378	D
PCMP_H379	F
PCMP_H380	C
PCMP_H382	D
PCMP_H383	C
PCMP_H384	D
PCMP_H386	H
PCMP_H388	G
PCMP_H391	H
PCMP_H392	D
PCMP_H393	G
PCMP_H394	G
PCMP_H395	E
PCMP_H398	T
PCMP_H399	O
PCMP_H423	I
PCMP_H401	T
PCMP_H405	P
PCMP_H408	T
PCMP_H410	D
PCMP_H413	C
PCMP_H414	N
PCMP_H415	C
PCMP_H416	H
PCMP_H417	C
PCMP_H419	E
PCMP_H420	N
PCMP_H421	P
PCMP_H429	H
PCMP_H424	T
PCMP_H428	H
PCMP_H427	I
PCMP_H430	E
PCMP_H422	P
PCMP_H434	G
PCMP_H459	D
PCMP_H454	N
PCMP_H426	T
PCMP_H464	E
PCMP_H481	C
PCMP_H432	D
PCMP_H477	G
PCMP_H482	D
PCMP_H479	F
PCMP_H480	F
PCMP_H466	H
PCMP_H465	O
PCMP_H439	G
PCMP_H442	E
PCMP_H447	D
PCMP_H438	M
PCMP_H448	P
PCMP_H443	G
PCMP_H467	C
PCMP_H457	T
PCMP_H458	F
PCMP_H440	C
PCMP_H461	F
PCMP_H460	I
PCMP_H462	H
PCMP_H456	G
PCMP_H453	C
PCMP_H431	T
PCMP_H471	N
PCMP_H474	G
PCMP_H475	G
PCMP_H469	F
PCMP_H473	H
PCMP_H470	D
